archivo,clase_real,clase_predicha,prob_Black_rot,prob_Esca,prob_Healthy,prob_Leaf_blight,correcto
39c4aca9-1462-49be-aebe-75dc63cc6ef3___FAM_B.Rot 0355.JPG,Black_rot,Black_rot,0.785,0.005,0.09,0.12,True
39f49e8a-cd72-45bd-bcf5-a25f472fa6ac___FAM_B.Rot 0512.JPG,Black_rot,Black_rot,0.945,0.035,0.01,0.01,True
3a101308-a8fc-4890-9dc9-48ae5a443790___FAM_B.Rot 0362.JPG,Black_rot,Black_rot,0.96,0.03,0.0,0.01,True
3a4dd05d-a912-4c16-a679-f00028a0d7b6___FAM_B.Rot 5011.JPG,Black_rot,Esca,0.45,0.53,0.0,0.02,False
3b54fead-5d85-40bc-a047-60815cde275e___FAM_B.Rot 5015.JPG,Black_rot,Black_rot,0.755,0.225,0.0,0.02,True
3f95e811-027a-4e6b-ab46-7dd5dd4dd2fd___FAM_B.Rot 0758.JPG,Black_rot,Black_rot,0.835,0.085,0.025,0.055,True
3ff156cc-1dca-4adb-9a14-ea922e0cd9d4___FAM_B.Rot 0745.JPG,Black_rot,Black_rot,0.575,0.22,0.15,0.055,True
41683bde-b97c-487c-b342-ed4cf21d129e___FAM_B.Rot 3017.JPG,Black_rot,Black_rot,0.715,0.01,0.025,0.25,True
47590c82-1467-4008-a9a0-27d9f12bada5___FAM_B.Rot 0594.JPG,Black_rot,Black_rot,0.945,0.035,0.015,0.005,True
485c3608-0e75-4c55-acae-65b5c778f6d1___FAM_B.Rot 0333.JPG,Black_rot,Black_rot,0.815,0.03,0.13,0.025,True
49133104-ac26-4ee4-ae4f-5901eff03cfb___FAM_B.Rot 0586.JPG,Black_rot,Black_rot,0.675,0.23,0.005,0.09,True
4a73015b-dbd0-417f-98b3-2016561c9bae___FAM_B.Rot 3577.JPG,Black_rot,Black_rot,0.65,0.11,0.18,0.06,True
4b052d59-caee-4a85-9ebb-27bf987e54b6___FAM_B.Rot 3016.JPG,Black_rot,Black_rot,0.79,0.1,0.05,0.06,True
4b58bd4b-a23c-4677-b52e-5301a120c981___FAM_B.Rot 3150.JPG,Black_rot,Black_rot,0.67,0.24,0.04,0.05,True
4c2cf28e-6bec-4105-bdaf-b36fb046ab3e___FAM_B.Rot 3024.JPG,Black_rot,Black_rot,0.735,0.255,0.0,0.01,True
4c6fe690-8921-42ea-ab54-06bcc21de388___FAM_B.Rot 0505.JPG,Black_rot,Black_rot,0.515,0.44,0.005,0.04,True
4d7a3011-3007-4854-8d1a-12bb807073db___FAM_B.Rot 3283.JPG,Black_rot,Black_rot,0.985,0.015,0.0,0.0,True
4e15bb20-cd99-4a38-b9e8-4a5bd97d8f07___FAM_B.Rot 0719.JPG,Black_rot,Black_rot,0.615,0.36,0.01,0.015,True
4e9dc57c-9d1e-4e31-bb7e-a744a67d98ed___FAM_B.Rot 3263.JPG,Black_rot,Black_rot,0.925,0.06,0.0,0.015,True
4f2e0b9d-ad36-4b62-a475-66f13ce3320b___FAM_B.Rot 0492.JPG,Black_rot,Black_rot,0.755,0.105,0.1,0.04,True
515986ac-032f-479a-a71b-085e2e1d61c7___FAM_B.Rot 3404.JPG,Black_rot,Black_rot,0.805,0.115,0.02,0.06,True
51beded3-3dc0-4f1f-a6b9-45c74612b9a1___FAM_B.Rot 3005.JPG,Black_rot,Black_rot,0.745,0.015,0.0,0.24,True
56fe18c8-e9bf-43ce-b7b8-960400a4555d___FAM_B.Rot 5092.JPG,Black_rot,Black_rot,0.655,0.295,0.0,0.05,True
590a10cc-dab5-4294-93ae-2c6ee606f9b7___FAM_B.Rot 3288.JPG,Black_rot,Black_rot,0.935,0.065,0.0,0.0,True
5982e6f4-421b-41ff-a557-a5f91848695b___FAM_B.Rot 3301.JPG,Black_rot,Black_rot,0.755,0.01,0.03,0.205,True
59c05cb2-313c-41ac-a9bf-d7469bfa3199___FAM_B.Rot 0375.JPG,Black_rot,Black_rot,0.85,0.055,0.035,0.06,True
5c74cb8c-adfa-4221-bbb9-bdc15edebadc___FAM_B.Rot 3086.JPG,Black_rot,Black_rot,0.75,0.225,0.025,0.0,True
5ce9d6df-162c-4488-9b80-eadfcbd1d02c___FAM_B.Rot 0563.JPG,Black_rot,Black_rot,0.96,0.03,0.0,0.01,True
5ffd7e9b-c750-4e10-8046-51d0c866fc8e___FAM_B.Rot 3562.JPG,Black_rot,Black_rot,0.585,0.34,0.01,0.065,True
613cac81-8048-40f7-892f-bb2e496cd7ea___FAM_B.Rot 0620.JPG,Black_rot,Healthy,0.33,0.01,0.385,0.275,False
615114a7-bd90-46f4-a2fe-fb4021bbf4d1___FAM_B.Rot 3227.JPG,Black_rot,Black_rot,0.89,0.105,0.0,0.005,True
61a3d458-6b32-4191-ab56-75ead7362294___FAM_B.Rot 3473.JPG,Black_rot,Black_rot,0.895,0.095,0.0,0.01,True
61fff4d4-7012-4171-bfed-5ca53f55abdb___FAM_B.Rot 0352.JPG,Black_rot,Black_rot,0.77,0.215,0.005,0.01,True
622a1243-a2f2-4888-aed6-0eb3186b6e7e___FAM_B.Rot 3603.JPG,Black_rot,Black_rot,0.855,0.125,0.02,0.0,True
636b8472-ce10-4889-a68f-c71d407768e6___FAM_B.Rot 3573.JPG,Black_rot,Black_rot,0.53,0.425,0.005,0.04,True
637315db-ce84-425a-b2d3-4284e8a8e3c5___FAM_B.Rot 0347.JPG,Black_rot,Black_rot,0.885,0.05,0.065,0.0,True
639728f8-1d6b-4f6f-860c-2c48653eb564___FAM_B.Rot 3547.JPG,Black_rot,Black_rot,0.575,0.355,0.03,0.04,True
63e24d93-6779-49b5-b0d0-d793cd68943b___FAM_B.Rot 3436.JPG,Black_rot,Black_rot,0.895,0.095,0.005,0.005,True
65fb7d1a-293a-4580-ab2b-405a1a9dfe1a___FAM_B.Rot 0733.JPG,Black_rot,Black_rot,0.685,0.2,0.06,0.055,True
669168c0-ff03-4708-a10a-153d5cd1e10f___FAM_B.Rot 3481.JPG,Black_rot,Black_rot,0.84,0.085,0.045,0.03,True
674d1b13-c042-4b8d-8df3-406ba1ea6c9f___FAM_B.Rot 0736.JPG,Black_rot,Black_rot,0.76,0.075,0.12,0.045,True
6813e6bf-0878-4e6b-85a2-24e2a7c563d0___FAM_B.Rot 3385.JPG,Black_rot,Black_rot,0.565,0.385,0.0,0.05,True
690624b3-100d-4a73-b824-9b55886cd6fe___FAM_B.Rot 3104.JPG,Black_rot,Black_rot,0.875,0.025,0.07,0.03,True
6a292305-78bc-4000-ad62-857b4261fec5___FAM_B.Rot 5090.JPG,Black_rot,Black_rot,0.82,0.165,0.0,0.015,True
6acf2de1-9910-489e-b856-95bc36d5e37d___FAM_B.Rot 0754.JPG,Black_rot,Black_rot,0.83,0.07,0.085,0.015,True
6b3a82f8-61f3-4060-aa07-ff552894ef35___FAM_B.Rot 3440.JPG,Black_rot,Black_rot,0.745,0.23,0.0,0.025,True
6c466f8c-fb76-4ae4-90fa-5763875c477e___FAM_B.Rot 3354.JPG,Black_rot,Black_rot,0.91,0.085,0.0,0.005,True
6cd047c1-d4c4-4215-8e8a-d81c7f5a3669___FAM_B.Rot 0408.JPG,Black_rot,Black_rot,0.8,0.155,0.04,0.005,True
6d74c9ed-be59-4d6b-a01d-e25eaa2bd156___FAM_B.Rot 5030.JPG,Black_rot,Black_rot,0.695,0.285,0.0,0.02,True
6dc433e2-eb64-4e1d-8a79-12c568f88ff4___FAM_B.Rot 0384.JPG,Black_rot,Black_rot,0.555,0.315,0.08,0.05,True
6e894a5f-a531-47b6-8aae-cea0471d3442___FAM_B.Rot 3282.JPG,Black_rot,Black_rot,0.925,0.075,0.0,0.0,True
6f47e933-57e2-4361-8dc2-1f85f7c231dc___FAM_B.Rot 3415.JPG,Black_rot,Black_rot,0.885,0.115,0.0,0.0,True
727be1bc-7ae8-474a-9062-95d7682663c5___FAM_B.Rot 3462.JPG,Black_rot,Black_rot,0.88,0.06,0.01,0.05,True
76792775-239d-479b-8ff7-828b5ce8bb36___FAM_B.Rot 0339.JPG,Black_rot,Black_rot,0.62,0.19,0.09,0.1,True
78428025-b8be-4035-b358-92dd99fb0d04___FAM_B.Rot 0476.JPG,Black_rot,Black_rot,0.905,0.08,0.005,0.01,True
7a587206-10d9-4f16-9398-8e97a41d44ec___FAM_B.Rot 0349.JPG,Black_rot,Black_rot,0.84,0.155,0.005,0.0,True
7a7e0600-62cb-4cf2-95e1-9e69489b3470___FAM_B.Rot 3393.JPG,Black_rot,Black_rot,0.675,0.085,0.0,0.24,True
7ad894ca-3f99-48ea-9470-fb98a41d8b67___FAM_B.Rot 0327.JPG,Black_rot,Black_rot,0.545,0.14,0.27,0.045,True
7afbee91-43f6-444f-a26d-9bcd9219b72b___FAM_B.Rot 3563.JPG,Black_rot,Black_rot,0.66,0.275,0.0,0.065,True
7b4a3140-6a68-43ee-b782-bf51970e6c1d___FAM_B.Rot 3250.JPG,Black_rot,Black_rot,0.705,0.265,0.0,0.03,True
7b6831ec-c21f-4b02-8f83-7c08a9eab2ff___FAM_B.Rot 3523.JPG,Black_rot,Black_rot,0.96,0.03,0.005,0.005,True
7b68f373-bb42-4477-86f6-5c69768180bc___FAM_B.Rot 3538.JPG,Black_rot,Black_rot,0.69,0.29,0.0,0.02,True
7c074ced-f3b9-4fcb-81ae-7fea89fe30ca___FAM_B.Rot 0448.JPG,Black_rot,Black_rot,0.925,0.045,0.015,0.015,True
7e623a79-a7da-48b1-afeb-09e9962d2813___FAM_B.Rot 0365.JPG,Black_rot,Black_rot,0.945,0.05,0.005,0.0,True
7ea77255-d587-474e-a4ab-f25e78c41fa0___FAM_B.Rot 3468.JPG,Black_rot,Black_rot,0.855,0.075,0.03,0.04,True
7fbb0b77-ca88-47ce-ad8e-83923e8e816c___FAM_B.Rot 0385.JPG,Black_rot,Black_rot,0.74,0.15,0.05,0.06,True
82557506-a1bd-48eb-af05-af9271673fd2___FAM_B.Rot 3480.JPG,Black_rot,Black_rot,0.905,0.065,0.01,0.02,True
83583a39-fa21-4c4c-af8e-df675210eb91___FAM_B.Rot 3560.JPG,Black_rot,Black_rot,0.665,0.16,0.02,0.155,True
83b866ce-0785-4312-8e43-1ae8aa59d3bd___FAM_B.Rot 3518.JPG,Black_rot,Black_rot,0.64,0.13,0.05,0.18,True
84d48be8-eb1e-4c4f-96bc-527cbacb6334___FAM_B.Rot 3360.JPG,Black_rot,Black_rot,0.855,0.11,0.0,0.035,True
8557739e-484e-42dc-871e-f4373b361024___FAM_B.Rot 0690.JPG,Black_rot,Black_rot,0.98,0.005,0.015,0.0,True
85604599-9409-4a23-99ee-b08e778a11c2___FAM_B.Rot 3395.JPG,Black_rot,Black_rot,0.805,0.075,0.025,0.095,True
882ad038-3d79-491d-b9f4-dc3357e5b34e___FAM_B.Rot 0602.JPG,Black_rot,Black_rot,0.915,0.055,0.025,0.005,True
8bd61999-0165-466a-aaf7-dd9e75885f50___FAM_B.Rot 3586.JPG,Black_rot,Black_rot,0.965,0.02,0.0,0.015,True
8e972621-5e05-4b55-a371-80c1db805fff___FAM_B.Rot 0402.JPG,Black_rot,Black_rot,0.565,0.4,0.005,0.03,True
8f9dcda2-c2cc-4c34-8032-2dfa5c74bd17___FAM_B.Rot 0744.JPG,Black_rot,Black_rot,0.84,0.055,0.015,0.09,True
8fc8f799-0c6f-4b34-af68-3a8d89f1a49f___FAM_B.Rot 0710.JPG,Black_rot,Black_rot,0.805,0.075,0.09,0.03,True
9142e7d3-183b-4c3f-a255-5fff2e6c208a___FAM_B.Rot 0382.JPG,Black_rot,Black_rot,0.705,0.205,0.08,0.01,True
916a177a-421c-4db0-9cff-22583bf4fbf7___FAM_B.Rot 3224.JPG,Black_rot,Black_rot,0.67,0.325,0.0,0.005,True
91bc5e98-a8c6-4307-9c1b-28f02d9514b8___FAM_B.Rot 0596.JPG,Black_rot,Black_rot,0.76,0.055,0.085,0.1,True
926d12b2-ca2a-47c1-bf78-dab6e7826069___FAM_B.Rot 3239.JPG,Black_rot,Black_rot,0.865,0.105,0.0,0.03,True
9337b973-61c3-48bc-9c57-e506856df46d___FAM_B.Rot 3361.JPG,Black_rot,Black_rot,0.805,0.145,0.0,0.05,True
967a897e-f058-4f33-bb28-fcc57206eb4f___FAM_B.Rot 0484.JPG,Black_rot,Black_rot,0.89,0.055,0.035,0.02,True
974b2e6d-631b-4eb7-afe2-52d527d1618c___FAM_B.Rot 0670.JPG,Black_rot,Black_rot,0.625,0.365,0.0,0.01,True
98f4ba39-5593-47ae-ad38-9d0dfb8da853___FAM_B.Rot 3430.JPG,Black_rot,Black_rot,0.895,0.095,0.0,0.01,True
9a65f651-1b87-4580-b00e-41fe31f950f4___FAM_B.Rot 5055.JPG,Black_rot,Black_rot,0.785,0.175,0.0,0.04,True
9eb19238-5388-4e56-88a0-8351da034735___FAM_B.Rot 0545.JPG,Black_rot,Black_rot,0.79,0.025,0.055,0.13,True
9fa2219a-57c9-4938-9221-0365a180397d___FAM_B.Rot 0751.JPG,Black_rot,Black_rot,0.915,0.06,0.025,0.0,True
a11136cd-a221-495a-b8ea-8d85375935cb___FAM_B.Rot 5105.JPG,Black_rot,Black_rot,0.83,0.155,0.0,0.015,True
a22f6001-3214-4e63-8527-eb1b0035d226___FAM_B.Rot 3460.JPG,Black_rot,Black_rot,0.94,0.04,0.005,0.015,True
a2718fdc-806f-4a37-a4f6-8bb90bcb3dea___FAM_B.Rot 0683.JPG,Black_rot,Black_rot,0.715,0.215,0.04,0.03,True
a2900ade-54bd-43db-a003-7c468d9b0a1e___FAM_B.Rot 0489.JPG,Black_rot,Black_rot,0.655,0.195,0.145,0.005,True
a30c651a-ef6a-4c84-9fc8-b79663d71a9a___FAM_B.Rot 0589.JPG,Black_rot,Black_rot,0.565,0.075,0.025,0.335,True
a376b8ce-9cff-442f-a3b6-71e74a097876___FAM_B.Rot 0528.JPG,Black_rot,Black_rot,0.84,0.085,0.015,0.06,True
a3bcb66a-36e5-4c73-801a-4e1013c30058___FAM_B.Rot 3219.JPG,Black_rot,Black_rot,0.925,0.075,0.0,0.0,True
a6195b76-5823-430b-a07e-870a2f8ac6b2___FAM_B.Rot 5009.JPG,Black_rot,Black_rot,0.49,0.445,0.0,0.065,True
a71b79c9-e226-4e66-b83a-8846f6239f44___FAM_B.Rot 0698.JPG,Black_rot,Black_rot,0.78,0.22,0.0,0.0,True
a7274e97-1a7e-4446-a127-7f0f3f961bd5___FAM_B.Rot 3248.JPG,Black_rot,Black_rot,0.935,0.06,0.0,0.005,True
a878bcb3-65e4-44ee-88bf-b2a8be8cc360___FAM_B.Rot 3199.JPG,Black_rot,Black_rot,0.85,0.14,0.0,0.01,True
a919f188-f2ef-4e7a-88f7-236491cd4ba8___FAM_B.Rot 3500.JPG,Black_rot,Black_rot,0.985,0.01,0.0,0.005,True
a91b8702-6001-4dc7-afff-8f0181fc984e___FAM_B.Rot 0412.JPG,Black_rot,Black_rot,0.735,0.07,0.185,0.01,True
a935ac99-f72a-4111-bb0c-74ced5e33402___FAM_B.Rot 0381.JPG,Black_rot,Black_rot,0.735,0.19,0.065,0.01,True
aa600fb5-718b-443a-b959-21d13c97a5c2___FAM_B.Rot 0686.JPG,Black_rot,Black_rot,0.75,0.21,0.035,0.005,True
ad5918ba-cd64-4a4e-aaab-f5d647e9a63f___FAM_B.Rot 3366.JPG,Black_rot,Black_rot,0.855,0.14,0.0,0.005,True
aebd67f2-eeb7-4330-8690-5cc18772e344___FAM_B.Rot 0737.JPG,Black_rot,Black_rot,0.89,0.055,0.01,0.045,True
afa86601-30e0-4a13-8812-db5ca9760afa___FAM_B.Rot 3159.JPG,Black_rot,Black_rot,0.83,0.125,0.0,0.045,True
b05b2685-6ef2-48b3-b52c-8c006866b30d___FAM_B.Rot 0480.JPG,Black_rot,Black_rot,0.885,0.03,0.035,0.05,True
b097ed98-241d-43c9-9bd9-1501bbf7a311___FAM_B.Rot 0679.JPG,Black_rot,Black_rot,0.855,0.085,0.015,0.045,True
b15f50bc-64db-428b-a65c-786befec714e___FAM_B.Rot 0369.JPG,Black_rot,Black_rot,0.73,0.155,0.06,0.055,True
b7df7350-df6a-4c70-8f77-21bc218442c9___FAM_B.Rot 3200.JPG,Black_rot,Black_rot,0.975,0.015,0.0,0.01,True
b88e508b-a46e-47fe-96b1-050985624390___FAM_B.Rot 3522.JPG,Black_rot,Black_rot,0.815,0.15,0.005,0.03,True
b8abc779-4fac-4e5f-abb6-f46d0866f9eb___FAM_B.Rot 0641.JPG,Black_rot,Black_rot,0.49,0.365,0.04,0.105,True
b8b61796-7482-4057-996a-af8e54ab9761___FAM_B.Rot 5060.JPG,Black_rot,Black_rot,0.825,0.13,0.0,0.045,True
bacc041a-df0e-401f-8da5-85303f596784___FAM_B.Rot 0592.JPG,Black_rot,Black_rot,0.83,0.07,0.045,0.055,True
bb424988-a1c3-4bef-a4a5-8388c4243795___FAM_B.Rot 0631.JPG,Black_rot,Black_rot,0.915,0.085,0.0,0.0,True
bb4d2497-0f5d-419e-84d3-685883e333b6___FAM_B.Rot 3375.JPG,Black_rot,Black_rot,0.87,0.095,0.01,0.025,True
bc248029-8236-4e2c-8343-c9ebf0abe24d___FAM_B.Rot 3564.JPG,Black_rot,Black_rot,0.68,0.255,0.005,0.06,True
bd1b82f6-2438-4204-9a6a-3a0b335172d1___FAM_B.Rot 3310.JPG,Black_rot,Black_rot,0.575,0.035,0.0,0.39,True
c00ea3f6-3316-4328-8ff5-2849c6a18719___FAM_B.Rot 5048.JPG,Black_rot,Black_rot,0.755,0.16,0.03,0.055,True
c3137679-a88f-4603-b027-faf156763d61___FAM_B.Rot 0616.JPG,Black_rot,Black_rot,0.86,0.14,0.0,0.0,True
c38471f9-9a18-4816-8237-36e727c17a93___FAM_B.Rot 0695.JPG,Black_rot,Black_rot,0.735,0.23,0.025,0.01,True
c448ff18-fa6f-4efa-a7f5-813d57279a26___FAM_B.Rot 3059.JPG,Black_rot,Black_rot,0.86,0.13,0.01,0.0,True
c4d154d9-6a5b-4a81-aa85-b9d5a5a00e89___FAM_B.Rot 3613.JPG,Black_rot,Black_rot,0.66,0.07,0.17,0.1,True
c4d8a014-c573-41fe-afb0-e4b1fb96d62a___FAM_B.Rot 0673.JPG,Black_rot,Black_rot,0.565,0.405,0.0,0.03,True
c6e07980-33d0-4e8b-a552-e738c1054907___FAM_B.Rot 3229.JPG,Black_rot,Black_rot,0.91,0.07,0.005,0.015,True
c6e1f132-3e73-4c9a-acee-ca707f2203d7___FAM_B.Rot 5008.JPG,Black_rot,Esca,0.43,0.53,0.005,0.035,False
c813333e-eed5-4934-8e83-39ffd9a52d3f___FAM_B.Rot 0371.JPG,Black_rot,Black_rot,0.585,0.045,0.33,0.04,True
ccbc65da-e98d-4478-b7d6-3eb08e0180a3___FAM_B.Rot 0324.JPG,Black_rot,Black_rot,0.82,0.155,0.01,0.015,True
cd21d350-3a40-45b8-8c67-c15c2a336545___FAM_B.Rot 3206.JPG,Black_rot,Black_rot,0.81,0.185,0.0,0.005,True
d045079f-ca24-4e40-b203-7c70608c9d02___FAM_B.Rot 0665.JPG,Black_rot,Black_rot,0.685,0.235,0.045,0.035,True
d0837299-34cf-476b-af90-68d4ed50a4a3___FAM_B.Rot 5021.JPG,Black_rot,Esca,0.4,0.485,0.005,0.11,False
